Country,mean,median,var,std,sem
Switzerland,82.18,82.45,1.51,1.23,0.26
Australia,81.98,82.10,1.76,1.33,0.28
Iceland,81.73,81.80,0.68,0.82,0.18
Sweden,81.45,81.60,1.07,1.03,0.22
Norway,81.17,81.10,2.03,1.43,0.30
Canada,81.10,81.40,1.12,1.06,0.23
Republic of Korea,80.69,81.00,5.70,2.39,0.51
Netherlands,80.50,80.90,1.63,1.28,0.27
Austria,80.45,80.65,1.26,1.12,0.24
Luxembourg,80.45,80.70,2.24,1.50,0.32
Ireland,80.15,80.55,3.14,1.77,0.38
Belgium,80.03,80.15,1.58,1.26,0.27
Germany,80.00,80.25,1.01,1.00,0.21
Denmark,79.39,79.50,2.56,1.60,0.34
United States,78.16,78.40,0.66,0.81,0.17
